,cid,tid,gid
0,723248,0,19
1,749836,281,74
2,751952,0,63
3,754653,281,74
4,776730,0,63
5,777846,0,72
6,778617,0,20
7,786401,0,63
8,791499,0,20
9,798832,315,20
10,800993,316,20
11,807305,0,72
12,820007,314,81
13,824976,0,32
14,661929,0,63
15,667677,292,20
16,757708,0,20
17,766084,0,11
18,772004,0,63
19,783255,0,63
20,785194,0,63
21,796626,0,63
22,797358,0,63
23,799951,0,63
24,802249,0,20
25,813490,0,20
26,414106,130,20
27,755072,0,63
28,765648,0,19
29,767970,281,74
30,770510,0,63
31,771628,0,63
32,774732,0,63
33,774819,0,63
34,778018,0,63
35,785571,0,63
36,789746,137,11
37,793887,315,20
38,802161,0,32
39,652377,261,20
40,738240,0,63
41,758942,0,63
42,761725,0,63
43,762910,0,63
44,763814,0,72
45,764680,111,11
46,771162,0,63
47,782575,0,11
48,784091,0,63
49,785306,0,63
50,795450,0,20
51,796952,0,72
52,797337,0,63
53,801034,0,11
54,802446,314,81
55,808103,0,63
56,808219,314,81
57,812076,0,63
58,816513,0,63
59,820686,314,81
60,747111,0,63
61,768575,0,20
62,782721,304,20
63,784040,0,20
64,792341,0,20
65,793077,0,32
66,793846,281,74
67,794447,111,11
68,803963,0,72
69,806096,0,63
70,807569,0,32
71,812586,0,63
72,818750,314,81
73,819666,314,81
74,825098,0,20
75,367158,111,11
76,590000,0,63
77,686541,201,20
78,732327,0,78
79,741634,0,63
80,763075,304,20
81,763276,0,63
82,772908,0,78
83,773243,0,63
84,773727,0,20
85,773846,0,11
86,778612,0,63
87,783433,0,63
88,785012,0,72
89,785261,0,19
90,789334,0,19
91,792527,0,11
92,795144,0,20
93,796407,0,20
94,798307,314,81
95,800662,0,11
96,805685,0,19
97,807148,314,81
98,814041,0,63
99,698687,201,20
100,759640,0,11
101,760335,281,74
102,766961,0,63
103,768255,0,63
104,769628,281,74
105,777409,0,63
106,780677,0,72
107,781889,0,78
108,787452,0,20
109,789134,0,25
110,793629,0,11
111,799727,0,63
112,801558,0,20
113,809451,0,20
114,810103,0,78
115,819454,0,63
116,716301,0,63
117,747705,0,78
118,761622,0,63
119,763384,0,63
120,785742,0,63
121,790540,0,11
122,798195,0,19
123,798349,0,63
124,800661,0,63
125,801296,0,63
126,818797,314,81
127,745922,281,74
128,748773,0,19
129,758507,0,32
130,764654,0,11
131,766678,0,63
132,767129,0,32
133,774387,0,63
134,777866,0,72
135,778448,281,74
136,781722,0,63
137,782669,0,63
138,792695,314,81
139,804590,0,11
140,810063,0,19
141,811842,0,20
142,812451,314,81
143,814007,0,63
144,819720,0,63
145,820600,0,81
146,748524,163,20
147,751736,281,74
148,751925,0,19
149,752546,281,74
150,755001,0,63
151,759536,0,63
152,769264,281,74
153,789640,0,63
154,793226,281,74
155,800721,0,63
156,812678,0,11
157,730367,0,72
158,732231,313,78
159,770982,0,20
160,771511,281,74
161,781639,0,63
162,783384,304,20
163,787250,106,11
164,788216,0,63
165,808489,314,81
166,813361,0,19
167,814950,314,81
168,776989,281,74
169,784921,0,72
170,789474,0,13
171,791505,0,20
172,791924,304,20
173,802914,0,32
174,805320,0,11
175,808295,0,63
176,734777,0,78
177,754050,0,63
178,754529,0,63
179,760098,0,63
180,774583,0,63
181,776660,0,63
182,791884,0,63
183,793639,0,63
184,797141,0,20
185,800292,0,63
186,808524,0,72
187,809368,314,81
188,812388,314,81
189,819273,317,20
190,748227,0,63
191,777127,0,20
192,779868,281,74
193,785259,0,63
194,804178,314,81
195,804634,0,63
196,806610,0,20
197,808739,111,11
198,809498,0,81
199,812129,0,20
200,812544,314,81
201,813633,314,81
202,818947,0,63
203,819594,0,11
204,445956,0,63
205,737824,163,20
206,759363,0,63
207,762089,0,20
208,766424,0,63
209,767734,0,63
210,769191,0,19
211,770940,0,63
212,773871,0,63
213,782513,281,74
214,786725,0,63
215,788883,0,63
216,790919,0,20
217,792664,0,63
218,796110,0,81
219,801663,0,81
220,803547,0,32
221,804784,0,63
222,809524,314,81
223,809789,314,81
224,813612,0,63
225,813937,98,19
226,815595,0,63
227,452619,0,20
228,753246,0,20
229,760905,0,63
230,764415,0,63
231,779465,0,63
232,787173,0,63
233,792487,0,63
234,796740,281,74
235,810830,314,81
236,815114,281,74
237,815497,0,11
238,819572,111,11
239,824537,0,11
240,722448,0,63
241,758269,0,63
242,776498,0,63
243,777119,0,19
244,781719,0,20
245,785346,0,63
246,786492,0,63
247,800003,281,74
248,814133,0,63
249,816182,314,81
250,758933,0,11
251,763166,0,63
252,788916,281,74
253,798218,315,20
254,806543,0,20
255,819646,0,20
256,589393,0,20
257,703347,304,20
258,753761,0,20
259,766176,0,20
260,766817,0,20
261,771375,0,72
262,776655,0,32
263,781292,0,63
264,781681,0,11
265,733152,0,20
266,750509,0,19
267,752500,0,63
268,755635,281,74
269,776962,0,63
270,778988,0,11
271,789432,0,72
272,795157,273,20
273,796111,319,20
274,796143,0,20
275,796708,281,74
276,800033,307,20
277,801852,0,63
278,809830,314,81
279,413482,201,20
280,756373,281,74
281,756918,0,63
282,769773,0,63
283,771762,211,70
284,780330,0,63
285,789074,0,63
286,792599,0,63
287,793050,0,63
288,794291,0,72
289,797056,281,74
290,799225,0,72
291,806641,0,63
292,812492,0,63
293,813180,0,63
294,818756,0,63
295,820913,0,63
296,822626,314,81
297,825091,0,19
298,454069,0,20
299,740782,0,19
300,747729,0,63
301,764844,111,11
302,766113,0,19
303,770540,0,63
304,782465,0,63
305,784789,0,11
306,790994,315,20
307,792271,0,78
308,802952,0,63
309,804375,314,81
310,806153,0,32
311,808708,314,81
312,815906,314,81
313,766741,0,63
314,770009,0,11
315,772030,0,72
316,784318,0,20
317,785319,0,19
318,791237,0,63
319,791749,281,74
320,796444,0,81
321,800463,0,63
322,801601,0,20
323,805115,281,74
324,809668,0,63
325,809820,0,63
326,813578,0,63
327,814303,0,11
328,816406,0,63
329,824874,0,63
330,658269,201,20
331,686666,305,20
332,737171,99,19
333,746998,0,20
334,762316,0,63
335,762779,0,11
336,763244,0,72
337,763727,0,20
338,770280,0,20
339,777796,0,63
340,784378,0,19
341,795037,281,74
342,800704,0,63
343,803938,319,20
344,804270,0,20
345,805227,0,20
346,805283,0,19
347,814157,314,81
348,823586,0,81
349,756296,281,74
350,758601,0,20
351,758962,0,20
352,763192,0,63
353,765887,0,63
354,767426,0,20
355,771179,0,63
356,774581,0,63
357,775126,0,11
358,777260,0,63
359,781964,313,78
360,792299,305,20
361,798928,0,20
362,801308,314,81
363,808584,111,11
364,814270,0,32
365,620148,0,20
366,749785,0,32
367,752945,0,63
368,755804,0,20
369,758464,281,74
370,758792,0,20
371,775621,0,63
372,790084,0,63
373,790174,0,11
374,798485,0,20
375,800658,0,20
376,804017,0,63
377,806837,314,81
378,809758,281,74
379,813665,314,81
380,819587,314,81
381,821004,0,72
382,684286,0,11
383,757437,0,63
384,765123,0,11
385,770593,0,63
386,775036,0,72
387,777125,0,19
388,780227,0,11
389,781669,281,74
390,785161,0,63
391,797432,314,81
392,808596,0,72
393,809469,0,63
394,814769,0,63
395,824272,0,72
396,394956,201,20
397,704402,0,63
398,752609,0,59
399,761031,0,63
400,763554,0,63
401,769091,0,63
402,774661,0,19
403,777956,0,11
404,778384,0,63
405,782681,0,63
406,787929,0,63
407,789566,0,20
408,794207,315,20
409,803813,0,20
410,804779,0,63
411,809735,0,11
412,748900,0,63
413,753480,0,20
414,758348,0,63
415,774351,0,72
416,776177,0,63
417,800375,0,20
418,800995,0,81
419,803144,0,63
420,808660,0,11
421,812534,0,63
422,816718,314,81
423,820743,0,63
424,821017,314,81
425,822903,0,63
426,824053,0,63
427,633471,111,11
428,721660,0,51
429,781644,0,63
430,782903,0,72
431,791782,0,63
432,798376,0,63
433,806960,0,72
434,807907,0,63
435,813622,0,20
436,814684,0,63
437,825059,0,81
438,417804,0,11
439,556405,130,20
440,697015,0,63
441,726598,98,19
442,745611,98,19
443,752739,0,63
444,755071,304,20
445,764843,0,63
446,775273,0,63
447,775483,0,63
448,779562,0,63
449,786758,0,63
450,789209,0,63
451,797918,0,20
452,805606,0,63
453,807942,0,20
454,813825,0,63
455,821147,0,63
456,519075,0,19
457,664248,99,19
458,724349,0,63
459,752331,98,19
460,755821,0,63
461,758517,0,63
462,763217,0,19
463,765810,304,20
464,767223,0,63
465,777096,304,20
466,778878,0,63
467,781533,111,11
468,789994,0,63
469,804312,0,63
470,805663,0,63
471,808706,0,63
472,816784,0,32
473,703354,0,63
474,731808,313,78
475,762165,0,63
476,773941,0,63
477,796545,0,63
478,809746,0,63
479,819170,0,63
480,675807,250,20
481,694976,0,20
482,753345,0,20
483,755498,0,19
484,755834,0,63
485,758088,0,11
486,765382,0,11
487,773335,0,63
488,778620,0,20
489,781657,0,63
490,784834,0,20
491,808410,0,20
492,813625,317,20
493,820648,0,20
494,723652,0,20
495,749618,0,20
496,755090,0,63
497,762600,0,63
498,778286,0,63
499,785864,0,20
500,793044,0,63
501,798841,0,20
502,821494,111,11
503,761920,0,63
504,769119,0,32
505,779575,0,63
506,780450,0,63
507,782454,0,63
508,786813,0,63
509,790774,0,20
510,797943,316,20
511,813981,314,81
512,819913,0,63
513,820521,314,81
514,731503,0,63
515,751240,0,11
516,754363,0,11
517,759886,0,63
518,766755,281,74
519,767148,0,11
520,771175,0,63
521,772386,0,63
522,775491,0,11
523,784258,0,63
524,791295,0,72
525,795835,314,81
526,798558,0,20
527,799821,0,63
528,805854,0,63
529,810556,260,20
530,819715,0,72
531,692512,281,74
532,707991,0,19
533,718840,0,63
534,747063,0,63
535,763419,0,63
536,774907,0,63
537,775628,111,11
