,gid,manage_uid,gid_tags
0,11,220770245597,"[17, 22]"
1,13,"940218631558,870560552247,440400284864","[10, 7, 2]"
2,15,"780031466599,811589735636","[7, 10, 16, 13]"
3,19,"421986528581,430075126724","[17, 2]"
4,20,,"[17, 18]"
5,25,350287461871,[10]
6,32,,"[8, 9]"
7,34,,"[17, 23]"
8,39,"830640330465,790403791088",[14]
9,40,,"[19, 6, 10]"
10,44,,[15]
11,50,,[4]
12,51,,[20]
13,59,220770245597,[0]
14,63,"601293122219,992110566761,581849226214,322043858745,111249944234,601774934296",[5]
15,65,340955752272,"[11, 1, 21, 3]"
16,69,,[9]
17,70,,[16]
18,72,561950586160,[16]
19,74,,[16]
20,75,,[16]
21,76,,"[16, 12]"
22,77,,[16]
23,78,,[6]
24,81,,[17]
25,82,,[16]
26,84,,[5]
