,tid,tid_name,create_uid,tid_tags
0,39,"[-1.15259655e-05 -1.34896298e-03 -1.14094522e-03 -9.50386484e-04
 -6.28313280e-04  8.83859410e-03 -1.74001821e-02 -6.96777958e-03]",3,[0]
1,56,"[-1.06289040e-05  5.99041459e-01  1.03066631e-03  4.13821377e-04
  1.49954433e-03 -3.13430375e-03  1.77805072e-03  6.51145167e-03]",43,[0]
2,98,"[ 3.88467558e-01 -2.62638417e-04  3.91651891e-01 -2.12858751e-02
 -7.73638772e-02  6.02739807e-03  6.36578485e-03  3.28309608e-03]",42,[0]
3,99,"[ 3.62142006e-05  1.80998958e-03 -2.42895695e-03  2.32262342e-03
 -1.68331404e-03 -3.88726290e-03  8.67311493e-03  9.27494453e-03]",42,[0]
4,101,"[ 1.62907201e-01  3.83745495e-04  2.61185310e-01 -1.47265868e-01
 -2.15427271e-01 -3.02265549e-02 -4.41282637e-01 -4.18566620e-03]",42,[0]
5,106,"[ 2.68547345e-05  1.01973181e-03 -6.14445108e-05 -1.47993651e-03
  4.58588890e-04  4.99130762e-03 -6.76421205e-03  7.76482591e-03]",43,[0]
6,107,"[ 7.59219828e-06  2.77778666e-01 -3.47635129e-04  7.48074384e-04
 -3.03371495e-04 -5.56793984e-03  8.35904250e-03  1.05424552e-02]",3,[0]
7,108,"[ 0.28501085 -0.00029362  0.15130563  0.05335409 -0.05450256  0.00890985
  0.14413578  0.00258592]",3,[0]
8,110,"[ 0.16954311 -0.00054141 -0.11712569  0.38689641  0.222119   -0.00959475
 -0.12348951  0.00070816]",43,[0]
9,111,"[ 3.24850451e-06 -6.21904752e-04 -8.23079267e-04  9.26845288e-05
 -1.41057176e-03 -3.38117605e-03  2.46850250e-03  6.45338480e-03]",42,[0]
10,130,"[ 1.62991245e-05  5.40756921e-01 -1.80647885e-03 -1.27473440e-04
 -1.93179767e-03  3.58524762e-03 -1.67972415e-03 -7.27355226e-03]",43,[0]
11,132,"[ 3.74873811e-01  3.04165327e-04 -2.39284117e-01 -1.34487612e-01
  4.27883215e-02  4.68183357e-03 -9.71234592e-03 -4.40155629e-03]",43,[0]
12,137,"[ 4.13528900e-01  1.67171419e-04  3.51400819e-01 -8.43954469e-02
 -2.30453005e-01 -1.83325056e-02 -2.66822382e-01 -2.66883577e-03]",42,[0]
13,163,"[-1.60359872e-05  5.60447780e-01  1.71323220e-03 -2.21573127e-04
  1.38542720e-03 -1.48146571e-04 -1.91944440e-03  4.12462852e-05]",43,[0]
14,164,"[ 0.03155381  0.00268892  0.02418241 -0.00855343 -0.01829628 -0.00806691
  0.16007868  0.01235335]",42,[0]
15,167,"[ 1.20376551e-05  2.03560479e-03  5.56121991e-04 -1.40491029e-03
  1.50455617e-04 -6.25101730e-03  1.16397954e-02 -3.73092835e-03]",42,[0]
16,171,"[ 0.26405567  0.00151741  0.08239226 -0.03939407 -0.06798681  0.01067029
  0.36184962  0.00727978]",43,[0]
17,175,"[ 1.51970303e-06  8.40407022e-01 -2.78651955e-04 -1.30091779e-04
 -3.87036348e-04  2.17494465e-03 -2.25652422e-03 -4.43140513e-03]",43,[0]
18,176,"[ 1.24281129e-01 -2.00748150e-04 -2.52507845e-01 -1.86315652e-01
  3.03170482e-02 -1.17386403e-02 -1.36356542e-01  1.66003971e-03]",42,[6]
19,182,"[ 2.48839703e-03  2.54414817e-04  2.37127386e-01 -2.81145987e-01
  6.34572914e-01  1.73617011e-03 -6.08513195e-03 -3.09534275e-03]",43,[0]
20,183,"[ 0.01168557 -0.00042234  0.12991008 -0.07602412  0.14453709  0.0085735
  0.00367947 -0.00640658]",44,[0]
21,187,"[ 7.22906556e-07  1.29222555e-03  2.57601303e-04  1.40622618e-03
  5.78369265e-04  6.63478770e-04  1.98152656e-03 -4.99835416e-03]",231,[0]
22,201,"[ 5.87895017e-06 -5.18485483e-05  2.23412213e-03 -6.00056874e-04
  4.67433161e-04 -8.24523405e-03  6.72359815e-03  1.13965243e-03]",43,[0]
23,202,"[ 4.80261281e-01  7.35594986e-05  4.62896113e-01 -9.18900991e-02
 -2.55593754e-01 -1.57393946e-02 -2.70974157e-01  3.54415620e-04]",42,[0]
24,211,"[ 1.91910843e-05  5.19987540e-05 -3.64282286e-03  4.09178642e-03
 -7.93651196e-04 -5.10435585e-03  6.10550714e-04  5.55872206e-03]",230,[0]
25,214,"[-4.10872421e-07 -2.98114394e-04 -8.07295448e-04  7.21007883e-04
 -7.79657571e-04  6.29252234e-01 -4.22833849e-02 -5.05864151e-03]",230,[0]
26,226,"[ 1.31339797e-05  1.36832441e-01 -7.15643504e-04  4.56016055e-04
 -1.26442221e-03 -3.99708135e-03  8.00739887e-03  6.86167074e-03]",231,[0]
27,231,"[-5.55671602e-06 -1.39450899e-03 -1.98620703e-03  2.62067547e-04
  6.27011985e-04  6.84919236e-03 -1.17389659e-02  1.17703980e-03]",44,"[4, 3]"
28,236,"[ 3.32798789e-01 -2.00117581e-04  1.71599642e-01  5.95532271e-02
 -6.12787026e-02  1.07442390e-02  1.59349618e-01  1.08182341e-03]",363,[0]
29,238,"[-1.46129214e-05 -7.47430358e-04  2.55481998e-03 -3.90929165e-03
 -6.59571515e-05  9.21655400e-03 -4.52911447e-03 -9.67629972e-03]",44,[0]
30,250,"[ 1.04907339e-01 -1.74402338e-04 -8.23255683e-02  2.75524310e-01
  1.59682320e-01  6.61003911e-04 -9.76895144e-02 -4.71998503e-04]",42,[0]
31,254,"[-2.34458314e-05 -1.06773276e-03  7.37971194e-04 -1.64321853e-03
  8.66746728e-04  1.32405583e-03  6.87848736e-04  1.38352881e-04]",42,[7]
32,257,"[ 0.38011813 -0.00106405 -0.05970395 -0.20584442 -0.08376157  0.03778409
  0.49423811 -0.00723331]",42,[7]
33,260,"[ 0.18257173  0.0005207  -0.42864113 -0.32076298  0.05705395 -0.01719604
 -0.25152711  0.00411286]",292,[0]
34,261,"[ 0.28066652 -0.0003283  -0.30407433 -0.3270306  -0.02007108  0.01015382
  0.17204368  0.00424426]",292,[0]
35,262,"[-4.64453026e-06 -1.99378475e-06 -8.66448479e-04  9.16497367e-04
 -1.27708025e-03  2.06663884e-03 -5.88123060e-03 -1.01980608e-03]",292,[0]
36,269,"[ 0.4476234  -0.00090794 -0.18819928 -0.29322226 -0.06506358  0.02873307
  0.38846504 -0.00511283]",292,[7]
37,271,"[-1.46535126e-05 -1.01487299e-04 -1.31716956e-03  4.33645689e-04
  1.32999021e-03  2.36284674e-03 -8.24292986e-03 -1.40941813e-03]",230,"[1, 3, 5]"
38,272,"[-1.23158481e-05 -1.61417406e-03 -1.03679932e-03  1.82487025e-03
 -7.84757826e-04 -6.44277664e-03 -1.07304324e-02  5.30680242e-03]",44,[3]
39,273,"[ 6.26250031e-01  2.51950095e-04 -2.69955190e-01  4.25847017e-01
  2.96887892e-01 -1.11888192e-02 -1.48309538e-01 -1.63789189e-03]",292,[7]
40,281,"[-1.12606033e-05 -1.35876824e-03 -1.11313466e-03 -9.02967236e-04
 -6.37711449e-04  8.65291752e-03 -1.72923295e-02 -6.97614822e-03]",230,[0]
